1;364_recto_1938_19x24PaysagMediter_Coll Sam;1938_19x24PaysagMediter364b.Sam.jpeg;364;1938;19X24;Paysage méditéranéen;sam;;le verso est une autre peinture
2;871_1940_48X38_AUTO PORTRAIT_PC;;871;1940;48X38;Autoportrait;paul;;Numero de titre ?
3;1185_AN 40_50X40_AUTOPORTRAIT_PC;;1185;1940;50X40;Autoportrait;paul;;Numero de titre ?
4;256_1945_35x27LaBastide_H_PC;1945_35x27LaBastide_H_256.jpeg;256;1945;35X27;La bastide;paul;chateau;
5;825_1945 Oliviers ..x.. H N° 825 Coll G. TISSERANT;1945_OLIVIERS_825_G-TISSERANT.jpeg;825;1945;;Oliviers;tisserant;;Dimensions
6;;1947_19x24Autoportr_364.jpeg;364;1947;19X24;Autoportrait;;;
7;;1947_38x46LChabasCous590coll_C_Barille.jpeg;590;1947;38X46;LChahabasCous;barille;;
8;;1947_40x25LeoneChabas592coll_C_Barille.jpeg;592;1947;40X25;LeoneChabas;barille;;
9;;1947_30x21Autoportrait594coll_C_Barille.jpeg;594;1947;30X21;Autoportait;barille;;
10;873_1947_46x38_Nature morte_PC;;873;1947;46X38;Nature morte;paul;;Numero de titre ?
11;874_1947_Portrait_46x38_PC;;874;1947;46X38;Portrait;paul;;Numero de titre ?
12;875_1947_Portrait_46x38_PC;;875;1947;46X38;Portrait;paul;;Numero de titre ?
13;;1948_65x50_2potconfitur574coll_M_Allard.jpeg;574;1948;65X50;Pot de confiture;allard;;
14;;1948_100x100Pierrot577coll_A_Capanni.jpeg;577;1948;100X100;Pierrot;capanni;;
15;008_1950_65X50_Vers-Bagarri;008_1950_65X50_Vers-Bagarri.jpeg;8;1950;65X50;Vers Bagarri;paul;box;
16;432_1950_65X50_Autoportrait_PC;1950_65x50Autoportrait432.jpeg;432;1950;65X50;Autoportrait;paul;box;
17;439_1950_65X50_Fleurs_PC;1950_65x50Fleurs439.jpeg;439;1950;65X50;Fleurs;paul;box;
18;;1950_65x50PlaineCharlvl459.jpeg;459;1950;65X50;Plaine Charleval;;;
19;507_1950_55x41Oliviers_PC;1950_55x41Oliviers_507.jpeg;507;1950;55X41;Olivier;paul;;
20;;1950_92x73Colline0_571as.jpeg;571;1950;93X73;Colline;;;
21;;1950_65x50brouette591coll_C_Barille.jpeg;591;1950;65X50;Brouettes;barille;;
22;;1950_31x39Bouquet597coll_J_Rouxel.jpeg;597;1950;31X39;Bouquet;rouxel;;
23;;1950_LES_TOITS_D-AIX_HX_719_Cliche_Paul_Coll_M_FABRE.jpeg;719;1950;;Les toits d'Aix;;;
24;868_1950_48X38_ AIX_PC;1950_48X38_ AIX_PC_868.jpeg;868;1950;48X38;Aix;paul;;
25;869_1950_46x38_Portrait_PC;;869;1950;46X38;Portrait;paul;;Numero de titre ?
26;870_1950_46x38_Portrait_Ch;;870;1950;46X38;Portrait;paul;;Numero de titre ?
27;872_1950_46x38_Nature-morte_PC;;872;1950;46X38;Nature morte;paul;;Numero de titre ?
28;1086_1950_Coll J-M Lyonnet;;1086;1950;;;lyonnet;;Dimension -  Titre -  n°de titre ?
29;1087_1950_Coll J-M Lyonnet;;1087;1950;;;lyonnet;;Dimension -  Titre -  n°de titre ?
30;1088_1950_Coll J-M Lyonnet;;1088;1950;;;lyonnet;;Dimension -  Titre -  n°de titre ?
31;1089_1950_Coll J-M Lyonnet;;1089;1950;;;lyonnet;;Dimension -  Titre -  n°de titre ?
32;1090_1950_Coll J-M Lyonnet;;1090;1950;;;lyonnet;;Dimension -  Titre -  n°de titre ?
33;1091_1950_Coll J-M Lyonnet;;1091;1950;;;lyonnet;;Dimension -  Titre -  n°de titre ?
34;1092_1950_Coll J-M LyonneT;;1092;1950;;;lyonnet;;Dimension -  Titre -  n°de titre ?
35;1184_1950_65x25_Vieux roseaux_PC;;1184;1950;65X25;Vieux roseaux;paul;;
36;;1950_50x50les_poireaux_H_cliche_paul.jpeg;;1950;50X50;Les poireaux;;;
37;;1951_65x50PteFille460.jpeg;460;1951;65X50;Petite fille;;;
38;;1951_65x50PteFille2_461.jpeg;461;1951;65X50;Petite fille;;;
39;;1951_100x73vu_du_cabanon__694_cliche_paul.jpeg;694;1951;100X73;Vu du cabanon;;;
40;695_1952_100X73_Vue-du-cabanon_2_PC;1952_100x73vu_du_cabanon_2_ 695_cliche_paul.jpeg;695;1952;100X73;Vu du cabanon;;;
41;457_1953_65X50_Nature morte_S;1953_65x50NaturMorte457.jpeg;457;1953;65X50;Nature morte;sam;;Numero de titre
42;489_1953_75X54_Enfant_PC;;489;1953;75X54;Enfant;paul;;
43;;1955_46x38Enfant_635.jpeg;635;1955;46X38;Enfant;;;
44;;1955_100x73maternite__696_cliche_paul.jpeg;696;1955;100X73;Maternité;;;
45;;1957_65x50Autoportrait102as.jpeg;102;1957;65X50;Autoportrait;;;
46;;1957_65x50Jonquilles446.jpeg;446;1957;65X50;Jonquilles;;;
47;;1957_55x47Enfant_511.jpeg;511;1957;55X47;Enfant;;;
48;;1958_73x60Ollivier_502.jpeg;502;1958;73X60;Ollivier Blés;;;
49;508_1958_46x60RteDuBreuil2_PC;1958_46x60RteDuBreuil2_508.jpeg;508;1958;46X60;Route du breuil;paul;;
50;509_1958_50x61RteDuBreuil1_PC;1958_50x61RteDuBreuil1_509.jpeg;509;1958;50X61;Route du breuil;paul;;
51;;1958_65x54Marie-Helene_517.jpeg;517;1958;65X54;Marie Helene;;;
52;519_1958_65X54_Village_12_PC;1958_65x54Village12_519.jpeg;519;1958;65X54;Village;paul;;box
53;524_1958_46x38Pervenches_PC;1958_46x38Pervenches_524.jpeg;524;1958;46X38;Pervenches;paul;;
54;;1958_65x50LeBreuil624.jpeg;624;1958;65X50;Le Breuil;;;
55;001_1959_73X54_Village-11bis;001_1959_73X54_Village-11bis.jpeg;1;1959;73X34;Village;paul;;
56;003_1959_65X50_Village-9bis;003_1959_65X50_Village-9bis.jpeg;3;1959;65X50;Village;paul;box;
57;055_1959_100X73_Les-Bles;1959_100x73LesBles_055as.jpeg;55;1959;100X7;Les Blés;?;;
