1;364_recto_1938_19x24PaysagMediter_Coll Sam;1938_19x24PaysagMediter364b.Sam.jpeg;364;1938;19X24;Paysage méditéranéen;sam;;le verso est une autre peinture
2;871_1940_48X38_AUTO PORTRAIT_PC;;871;1940;48X38;Autoportrait;paul;;Numero de titre ?
3;1185_AN 40_50X40_AUTOPORTRAIT_PC;;1185;1940;50X40;Autoportrait;paul;;Numero de titre ?
4;256_1945_35x27LaBastide_H_PC;1945_35x27LaBastide_H_256.jpeg;256;1945;35X27;La bastide;paul;Château de Charleval;
5;825_1945 Oliviers ..x.. H N° 825 Coll G. TISSERANT;1945_OLIVIERS_825_G-TISSERANT.jpeg;825;1945;;Oliviers;tisserant;;Dimensions
6;;1947_19x24Autoportr_364.jpeg;364;1947;19X24;Autoportrait;;;
7;;1947_38x46LChabasCous590coll_C_Barille.jpeg;590;1947;38X46;LChahabasCous;barille;;
8;;1947_40x25LeoneChabas592coll_C_Barille.jpeg;592;1947;40X25;LeoneChabas;barille;;
9;;1947_30x21Autoportrait594coll_C_Barille.jpeg;594;1947;30X21;Autoportait;barille;;
10;873_1947_46x38_Nature morte_PC;;873;1947;46X38;Nature morte;paul;;Numero de titre ?
11;874_1947_Portrait_46x38_PC;;874;1947;46X38;Portrait;paul;;Numero de titre ?
12;875_1947_Portrait_46x38_PC;;875;1947;46X38;Portrait;paul;;Numero de titre ?
